N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"66,600",900,-1.33%,100,"3,975,875","5,969,783",51.25,"12,990,771",11.53,13.92,
2,LG에너지솔루션,"435,000","6,000",-1.36%,500,"1,017,900","234,000",3.03,"305,867",109.77,10.68,
3,SK하이닉스,"108,000","2,000",-1.82%,"5,000","786,243","728,002",49.84,"3,665,926",8.19,16.84,
4,삼성바이오로직스,"835,000","4,000",-0.48%,"2,500","552,478","66,165",10.56,"57,401",142.06,8.21,
5,NAVER,"308,500","4,500",-1.44%,100,"506,091","164,049",54.38,"368,688",3.07,106.72,
6,삼성전자우,"59,900",800,-1.32%,100,"492,909","822,887",73.09,"1,637,064",10.37,N/A,
7,카카오,"95,400",700,-0.73%,100,"425,742","446,270",28.86,"1,075,776",30.46,17.10,
8,삼성SDI,"613,000","7,000",-1.13%,"5,000","421,527","68,765",43.15,"229,282",36.88,8.45,
9,현대차,"177,000",500,-0.28%,"5,000","378,193","213,668",26.50,"556,803",9.92,6.84,
10,LG화학,"505,000","9,000",-1.75%,"5,000","356,491","70,592",48.60,"79,603",10.77,18.47,
11,기아,"76,700",100,-0.13%,"5,000","310,914","405,363",34.31,"728,604",6.53,14.69,
12,POSCO홀딩스,"282,500","3,500",-1.22%,"5,000","246,303","87,187",52.78,"442,236",3.72,13.97,
13,KB금융,"59,400",400,-0.67%,"5,000","244,937","412,352",72.77,"582,621",5.60,9.80,
14,카카오뱅크,"46,200",500,-1.07%,"5,000","219,524","475,159",15.95,"563,382",98.93,4.91,
15,셀트리온,"158,500","5,500",-3.35%,"1,000","218,660","137,956",19.32,"440,028",38.74,15.81,
16,신한지주,"40,300",450,-1.10%,"5,000","208,190","516,600",61.94,"617,591",5.35,8.80,
17,LG전자,"126,500",500,+0.40%,"5,000","207,014","163,648",27.99,"1,096,673",22.17,6.32,
18,삼성물산,"109,000","1,500",-1.36%,100,"203,707","186,887",15.56,"178,199",12.57,5.40,
19,현대모비스,"206,000","1,500",-0.72%,"5,000","194,821","94,573",34.11,"199,559",8.30,6.87,
20,SK이노베이션,"207,500","1,500",-0.72%,"5,000","191,866","92,466",23.54,"214,213",63.85,1.91,
21,SK,"250,500","1,000",+0.40%,200,"185,744","74,149",21.64,"103,010",9.06,10.19,
22,카카오페이,"131,500","3,500",-2.59%,500,"174,157","132,439",42.58,"160,325",-664.14,-2.45,
23,하나금융지주,"46,900",200,-0.42%,"5,000","140,814","300,242",71.25,"766,614",3.99,10.86,
24,한국전력,"21,750",150,-0.68%,"5,000","139,627","641,964",14.65,"1,025,090",-2.63,-7.99,
25,LG생활건강,"877,000","17,000",-1.90%,"5,000","136,972","15,618",40.49,"21,637",18.40,16.65,
26,현대중공업,"148,000","9,000",+6.47%,"5,000","131,384","88,773",4.18,"487,237",-13.88,-14.87,
27,HMM,"26,700",300,-1.11%,"5,000","130,574","489,039",10.21,"1,729,255",1.94,88.62,
28,SK텔레콤,"59,500","1,000",-1.65%,100,"130,206","218,833",46.78,"1,080,217",8.70,13.63,
29,크래프톤,"264,500","2,000",-0.75%,100,"129,796","49,072",28.86,"112,857",23.12,17.86,
30,삼성생명,"64,700",700,-1.07%,500,"129,400","200,000",12.79,"216,849",8.81,4.01,
31,두산중공업,"20,950",100,+0.48%,"5,000","129,136","616,402",8.55,"2,918,171",20.42,10.67,
32,하이브,"294,000","3,000",-1.01%,500,"121,579","41,353",15.36,"124,327",81.53,6.83,
33,S-Oil,"107,500","1,500",+1.42%,"2,500","121,026","112,583",79.58,"451,988",9.09,21.76,
34,고려아연,"626,000","8,000",-1.26%,"5,000","118,126","18,870",20.00,"18,820",14.64,11.07,
35,삼성전기,"157,000","2,000",-1.26%,"5,000","117,269","74,694",28.56,"280,036",13.65,14.29,
36,LG,"73,300","1,500",-2.01%,"5,000","115,302","157,301",36.49,"146,020",4.73,12.36,
37,우리금융지주,"15,200",200,-1.30%,"5,000","110,665","728,061",35.28,"992,820",4.26,10.59,
38,KT&G,"79,800","1,000",-1.24%,"5,000","109,559","137,292",37.28,"598,883",11.21,10.74,
39,대한항공,"31,450",100,-0.32%,"5,000","109,390","347,821",13.42,"1,678,718",16.51,11.60,
40,삼성에스디에스,"137,500",0,0.00%,500,"106,394","77,378",12.78,"108,818",17.41,8.80,
41,SK바이오사이언스,"134,000","4,000",-2.90%,500,"102,732","76,666",5.12,"284,677",27.75,38.08,
42,포스코케미칼,"130,500",0,0.00%,500,"101,090","77,463",6.20,"284,946",74.02,7.92,
43,삼성화재,"213,000","4,500",-2.07%,500,"100,908","47,375",48.84,"164,601",9.60,7.09,
44,엔씨소프트,"443,000","4,000",-0.89%,500,"97,256","21,954",42.05,"66,062",24.50,12.62,
45,아모레퍼시픽,"161,500","1,500",-0.92%,500,"94,466","58,493",26.94,"157,428",57.56,4.20,
46,LG이노텍,"398,500",500,-0.13%,"5,000","94,313","23,667",26.16,"216,096",10.62,30.94,
47,KT,"35,150",200,-0.57%,"5,000","91,781","261,112",41.93,"1,607,946",6.76,9.36,
48,넷마블,"103,000",500,-0.48%,100,"88,532","85,954",22.84,"109,047",36.85,4.29,
49,SK아이이테크놀로지,"122,000","3,000",-2.40%,"1,000","86,983","71,298",9.57,"188,548",87.58,5.57,
50,기업은행,"11,000",150,-1.35%,"5,000","81,873","744,301",14.67,"1,121,090",3.63,9.21,
51,SK스퀘어,"57,100",400,-0.70%,100,"80,778","141,468",39.80,"794,230",3.54,N/A,
52,현대글로비스,"197,500","1,000",+0.51%,500,"74,062","37,500",44.14,"64,200",9.46,14.41,
53,SK바이오팜,"88,500",600,-0.67%,500,"69,307","78,313",6.05,"74,147",106.88,15.75,
54,한국조선해양,"97,700","5,700",+6.20%,"5,000","69,145","70,773",19.72,"601,286",-7.44,-8.95,
55,LG디스플레이,"19,250",200,-1.03%,"5,000","68,880","357,816",16.49,"1,861,450",5.81,9.68,
56,롯데케미칼,"192,000","5,000",-2.54%,"5,000","65,809","34,275",24.13,"128,270",4.89,9.87,
57,한화솔루션,"34,050",200,-0.58%,"5,000","65,130","191,278",18.76,"372,048",10.30,8.79,
58,LG유플러스,"14,250",50,+0.35%,"5,000","62,217","436,611",37.28,"1,050,628",8.73,9.47,
59,한온시스템,"11,300",100,-0.88%,100,"60,319","533,800",17.40,"316,941",19.55,13.83,
60,SKC,"156,500","2,000",-1.26%,"5,000","59,264","37,868",15.71,"107,206",26.83,11.60,
61,강원랜드,"27,650",50,-0.18%,500,"59,155","213,940",18.94,"771,006",-564.29,-0.33,
62,CJ제일제당,"386,000","7,000",-1.78%,"5,000","58,109","15,054",22.54,"25,859",10.32,10.76,
63,F&F,"150,000","3,500",+2.39%,100,"57,461","38,307",13.83,"123,214",16.49,N/A,
64,맥쿼리인프라,"13,900",0,0.00%,0,"56,274","404,846",14.50,"737,447",N/A,N/A,
65,메리츠화재,"46,450","1,250",-2.62%,500,"56,030","120,625",11.58,"204,364",8.49,26.12,
66,현대제철,"41,300",200,-0.48%,"5,000","55,113","133,446",20.67,"389,540",3.77,8.54,
67,삼성중공업,"6,240",100,+1.63%,"1,000","54,912","880,000",15.16,"8,906,860",-3.04,-36.89,
68,메리츠금융지주,"41,000","1,350",-3.19%,500,"53,731","131,051",6.95,"215,098",6.96,22.33,
69,미래에셋증권,"8,350",80,-0.95%,"5,000","51,379","615,316",13.98,"811,166",5.73,11.66,
70,KODEX 200,"35,805",430,-1.19%,0,"50,771","141,800",6.13,"5,255,810",N/A,N/A,
71,에스디바이오센서,"48,500","2,400",-4.72%,500,"50,087","103,271",12.67,"379,957",4.46,72.47,
72,현대건설,"44,150",200,-0.45%,"5,000","49,164","111,356",23.30,"369,366",12.09,5.89,
73,DB손해보험,"68,900","1,100",-1.57%,500,"48,781","70,800",43.43,"119,714",5.61,13.38,
74,코웨이,"66,000",400,-0.60%,500,"48,708","73,800",61.19,"120,500",10.46,27.41,
75,삼성엔지니어링,"24,400",0,0.00%,"5,000","47,824","196,000",40.28,"970,904",12.84,20.67,
76,HD현대,"58,700",800,+1.38%,"1,000","46,369","78,993",16.11,"237,573",-35.04,-1.99,
77,금호석유,"152,000","2,000",-1.30%,"5,000","46,050","30,296",20.06,"47,000",2.59,47.76,
78,메리츠증권,"6,770",210,-3.01%,"1,000","44,668","659,791",12.86,"1,653,752",6.40,15.77,
79,두산밥캣,"43,500","3,250",+8.07%,500,"43,608","100,249",24.99,"818,117",11.30,9.19,
80,유한양행,"59,500",600,+1.02%,"1,000","43,573","73,231",18.01,"172,251",43.15,5.45,
81,일진머티리얼즈,"94,300","2,000",-2.08%,500,"43,483","46,111",11.53,"166,685",69.29,7.85,
82,한국항공우주,"44,150","1,150",+2.67%,"5,000","43,035","97,475",18.00,"1,621,320",67.30,5.19,
83,한국타이어앤테크놀로지,"34,400",150,+0.44%,500,"42,613","123,875",39.88,"171,340",7.13,7.69,
84,한국금융지주,"74,700",600,-0.80%,"5,000","41,627","55,726",34.79,"131,202",2.61,27.12,
85,쌍용C&E,"8,210",130,+1.61%,100,"41,367","503,860",3.24,"852,277",22.25,11.12,
86,GS,"44,200",50,-0.11%,"5,000","41,069","92,915",19.06,"181,134",2.89,15.55,
87,아모레G,"47,650",500,-1.04%,500,"39,291","82,458",15.35,"91,119",25.41,5.49,
88,한진칼,"58,300",200,-0.34%,"2,500","38,922","66,761",14.74,"99,300",226.85,1.11,
89,이마트,"138,000",500,+0.36%,"5,000","38,469","27,876",29.78,"62,874",2.45,16.25,
90,삼성카드,"33,200",200,-0.60%,"5,000","38,465","115,859",7.27,"59,049",6.98,7.53,
91,한미약품,"307,000","7,000",+2.33%,"2,500","37,816","12,318",13.37,"72,483",56.42,8.75,
92,한국가스공사,"40,250",400,+1.00%,"5,000","37,156","92,313",10.47,"366,991",3.91,11.63,
93,NH투자증권,"11,100",150,-1.33%,"5,000","36,815","331,666",15.88,"1,127,989",3.62,14.77,
94,삼성증권,"40,600",350,-0.85%,"5,000","36,256","89,300",30.09,"204,233",3.76,16.94,
95,GS건설,"42,350",150,-0.35%,"5,000","36,244","85,581",27.61,"417,703",8.84,9.32,
96,현대오토에버,"132,000","2,500",+1.93%,500,"36,200","27,424",1.90,"82,927",48.85,7.26,
97,팬오션,"6,610",0,0.00%,"1,000","35,335","534,570",14.25,"3,768,989",6.43,17.16,
98,현대미포조선,"88,300","2,800",+3.27%,"5,000","35,269","39,942",11.73,"575,528",-22.09,-7.11,
99,롯데지주,"32,950",0,0.00%,200,"34,568","104,909",7.77,"97,506",11.31,4.61,
100,오리온,"86,900",100,-0.11%,500,"34,357","39,536",36.12,"64,209",13.33,12.75,
101,한미사이언스,"49,450","3,550",+7.73%,500,"33,934","68,624",2.08,"312,245",78.99,6.37,
102,현대차2우B,"88,900",700,+0.79%,"5,000","32,436","36,485",61.14,"105,402",4.98,N/A,
103,호텔신라,"81,900","1,500",-1.80%,"5,000","32,144","39,248",13.62,"364,154",120.97,4.51,
104,DB하이텍,"70,800","1,700",-2.34%,"5,000","31,434","44,399",23.17,"558,444",9.95,33.35,
105,BGF리테일,"179,500","1,000",-0.55%,"1,000","31,025","17,284",30.68,"22,906",21.01,19.61,
106,한화시스템,"16,300",50,+0.31%,"5,000","30,794","188,919",3.08,"379,795",25.87,6.04,
107,TIGER 차이나전기차SOLACTIVE,"13,025",320,-2.40%,0,"30,437","233,680",0.52,"5,635,313",N/A,N/A,
108,대우조선해양,"28,150","1,850",+7.03%,"5,000","30,202","107,291",4.66,"1,265,236",-1.78,-55.86,
109,KCC,"336,500","15,500",+4.83%,"5,000","29,903","8,886",10.29,"71,572",-65.31,-0.92,
110,GS리테일,"28,550",400,-1.38%,"1,000","29,897","104,718",7.29,"132,247",3.19,25.58,
111,CJ대한통운,"130,000","1,000",+0.78%,"5,000","29,656","22,812",19.54,"60,735",54.17,1.59,
112,한전기술,"76,800","1,600",-2.04%,200,"29,353","38,220",1.29,"191,881",178.60,3.25,
113,포스코인터내셔널,"23,450",300,+1.30%,"5,000","28,931","123,375",6.97,"1,895,968",8.02,10.86,
114,현대해상,"32,150",550,-1.68%,500,"28,742","89,400",27.53,"314,016",6.64,8.82,
115,제일기획,"24,600",200,-0.81%,200,"28,300","115,041",31.63,"125,807",17.11,15.58,
116,대우건설,"6,590",30,+0.46%,"5,000","27,390","415,623",11.00,"1,041,167",5.65,16.47,
117,한화에어로스페이스,"53,200","1,200",+2.31%,"5,000","26,935","50,630",21.21,"435,895",10.66,9.21,
118,한화생명,"3,100",40,-1.27%,"5,000","26,924","868,530",7.93,"1,136,316",2.26,10.79,
119,씨에스윈드,"63,200",0,0.00%,500,"26,652","42,171",11.06,"126,655",39.48,10.13,
120,롯데쇼핑,"94,100",100,+0.11%,"5,000","26,620","28,289",10.88,"37,634",-9.11,-2.94,
121,에스원,"68,500","1,300",-1.86%,500,"26,029","37,999",53.24,"41,928",20.18,9.13,
122,동서,"26,000",500,-1.89%,500,"25,922","99,700",2.95,"63,597",22.87,8.05,
123,BNK금융지주,"7,910",70,-0.88%,"5,000","25,781","325,935",40.01,"1,010,439",3.26,8.76,
124,키움증권,"98,100","2,400",-2.39%,"5,000","25,721","26,220",25.35,"66,321",2.99,25.38,
125,하이트진로,"36,400",450,-1.22%,"5,000","25,529","70,134",8.28,"398,966",36.15,6.62,
126,CJ,"87,200",800,-0.91%,"5,000","25,442","29,177",17.55,"26,012",11.31,5.66,
127,두산퓨얼셀,"38,250",350,-0.91%,100,"25,051","65,494",14.59,"210,361",360.85,1.69,
128,만도,"53,300",700,+1.33%,"1,000","25,028","46,957",18.63,"470,386",14.98,9.31,
129,신세계,"254,000",0,0.00%,"5,000","25,007","9,845",26.11,"30,233",8.15,8.54,
130,한솔케미칼,"216,000","8,500",-3.79%,"5,000","24,484","11,335",38.42,"71,563",16.50,23.88,
131,OCI,"102,000","5,000",-4.67%,"5,000","24,326","23,849",14.60,"306,053",3.76,23.93,
132,효성첨단소재,"511,000","9,000",-1.73%,"5,000","22,893","4,480",7.16,"21,300",9.13,54.69,
133,한화,"30,350",350,-1.14%,"5,000","22,750","74,959",16.29,"132,842",3.30,20.22,
134,KODEX 레버리지,"19,010",435,-2.24%,0,"22,470","118,200",1.62,"17,299,018",N/A,N/A,
135,녹십자,"191,000","1,500",-0.78%,"5,000","22,321","11,687",22.37,"17,383",18.12,10.30,
136,SK케미칼,"126,500","4,500",-3.44%,"5,000","22,290","17,621",18.53,"63,271",14.85,11.19,
137,영원무역,"49,350","1,450",-2.85%,500,"21,868","44,311",28.19,"130,089",7.34,14.71,
138,대한전선,"1,755",45,-2.50%,100,"21,840","1,244,473",2.67,"14,919,048",58.50,7.78,
139,솔루스첨단소재,"70,900","1,200",+1.72%,100,"21,688","30,590",5.72,"155,074",245.33,4.00,
140,롯데정밀화학,"83,500","2,300",-2.68%,"5,000","21,543","25,800",20.70,"123,098",3.68,30.43,
141,현대차우,"88,000",200,+0.23%,"5,000","21,434","24,357",56.99,"41,579",4.93,N/A,
142,현대로템,"19,200",0,0.00%,"5,000","20,955","109,142",4.12,"280,748",31.53,5.01,
143,TIGER 미국나스닥100,"77,445",860,-1.10%,0,"20,902","26,990",0.02,"98,045",N/A,N/A,
144,휠라홀딩스,"33,450",650,-1.91%,"1,000","20,322","60,752",39.56,"337,302",8.64,16.20,
145,LG화학우,"261,000","4,000",-1.51%,"5,000","20,068","7,689",71.40,"3,779",5.57,N/A,
146,KODEX 200선물인버스2X,"2,600",60,+2.36%,0,"19,570","752,700",7.66,"143,028,137",N/A,N/A,
147,대웅제약,"168,000","2,500",+1.51%,"2,500","19,465","11,587",7.70,"21,104",78.95,4.39,
148,LS,"60,400","1,000",+1.68%,"5,000","19,449","32,200",13.26,"287,407",7.00,8.15,
149,후성,"20,700",450,-2.13%,500,"19,170","92,607",6.34,"1,832,456",84.84,9.61,
150,농심,"308,500","7,500",-2.37%,"5,000","18,765","6,083",12.08,"21,606",18.80,4.73,
151,한샘,"79,000","2,900",-3.54%,"1,000","18,592","23,534",14.82,"85,943",33.24,9.10,
152,TIGER 200,"35,865",385,-1.06%,0,"18,435","51,400",0.30,"1,123,703",N/A,N/A,
153,효성티앤씨,"422,000","3,500",-0.82%,"5,000","18,263","4,328",10.62,"22,129",2.37,76.22,
154,KG스틸,"18,200","1,000",+5.81%,"5,000","18,202","100,009",0.75,"24,712,455",9.54,17.99,
155,한전KPS,"40,350",650,-1.59%,200,"18,158","45,000",5.46,"306,717",18.40,9.12,
156,현대백화점,"76,000",300,-0.39%,"5,000","17,786","23,402",18.09,"43,552",9.39,4.36,
157,TIGER 단기통안채,"100,725",5,0.00%,0,"17,721","17,593",0.67,"2,622,776",N/A,N/A,
158,효성,"83,400",100,+0.12%,"5,000","17,573","21,071",6.80,"24,443",4.01,18.04,
159,동원시스템즈,"60,100",700,+1.18%,"5,000","17,542","29,188",13.05,"31,060",40.36,6.95,
160,신풍제약,"33,100","1,150",-3.36%,500,"17,538","52,985",4.97,"1,058,083",-157.62,-3.19,
161,롯데칠성,"187,500",500,+0.27%,500,"17,398","9,279",9.57,"32,733",13.70,9.96,
162,대웅,"29,900",0,0.00%,500,"17,384","58,142",4.62,"44,508",22.07,11.13,
163,현대위아,"63,600",0,0.00%,"5,000","17,296","27,195",6.75,"115,741",27.75,1.96,
164,JB금융지주,"8,720",0,0.00%,"5,000","17,177","196,983",41.82,"224,320",3.39,12.80,
165,롯데렌탈,"46,700","1,350",+2.98%,"5,000","17,108","36,634",3.98,"224,430",12.67,12.28,
166,동국제강,"17,900",300,+1.70%,"5,000","17,082","95,433",22.00,"1,436,335",3.10,23.41,
167,오뚜기,"457,000","9,000",-1.93%,"5,000","16,781","3,672",11.92,"2,060",12.97,8.91,
168,한미반도체,"16,950",300,-1.74%,100,"16,767","98,920",5.81,"478,801",16.17,34.59,
169,아이에스동서,"54,200",800,-1.45%,500,"16,744","30,893",4.29,"98,023",15.95,8.69,
170,코오롱인더,"59,300","1,700",-2.79%,"5,000","16,319","27,519",19.40,"189,127",9.36,8.20,
171,LIG넥스원,"73,300",500,+0.69%,"5,000","16,126","22,000",7.45,"225,793",15.35,14.63,
172,아시아나항공,"21,600",350,-1.59%,"5,000","16,073","74,412",7.55,"371,709",-4.43,-47.21,
173,두산,"96,500","1,500",-1.53%,"5,000","15,946","16,524",10.77,"76,263",9.76,11.08,
174,TIGER 미국S&P500,"13,700",40,-0.29%,0,"15,830","115,550",0.07,"507,736",N/A,N/A,
175,KODEX 단기채권,"103,275",15,-0.01%,0,"15,668","15,171",0.00,"7,047",N/A,N/A,
176,ESR켄달스퀘어리츠,"7,340",210,+2.95%,"1,000","15,641","213,089",53.99,"591,216",56.90,1.34,
177,일진하이솔루스,"43,050",650,+1.53%,500,"15,633","36,313",1.55,"186,939",151.58,4.97,
178,KODEX 삼성그룹,"9,150",75,-0.81%,0,"15,628","170,800",0.14,"795,542",N/A,N/A,
179,DGB금융지주,"9,120",30,-0.33%,"5,000","15,426","169,146",50.15,"443,530",3.07,9.63,
180,케이카,"31,200",450,-1.42%,500,"15,003","48,087",17.39,"63,892",31.08,20.96,
181,현대엘리베이,"36,500",300,-0.82%,"5,000","14,898","40,815",29.95,"65,677",13.17,10.62,
182,대덕전자,"30,100","1,850",+6.55%,500,"14,874","49,417",16.26,"2,866,075",24.59,9.55,
183,한일시멘트,"21,150",650,+3.17%,500,"14,649","69,262",2.93,"269,938",18.63,5.89,
184,롯데리츠,"5,920",120,+2.07%,500,"14,384","242,969",9.33,"820,901",77.89,1.59,
185,LX인터내셔널,"37,000",150,+0.41%,"5,000","14,341","38,760",25.62,"768,807",4.10,22.49,
186,PI첨단소재,"48,400",650,-1.33%,500,"14,213","29,366",10.35,"115,870",22.21,21.03,
187,KODEX 종합채권(AA-이상)액티브,"103,155",135,-0.13%,0,"14,068","13,638",0.00,"1,884",N/A,N/A,
188,LS ELECTRIC,"46,000",150,-0.33%,"5,000","13,800","30,000",16.14,"117,477",16.28,5.86,
189,코스모신소재,"45,050",0,0.00%,"1,000","13,554","30,087",6.72,"468,220",74.59,9.42,
190,티와이홀딩스,"26,600",350,+1.33%,500,"13,547","50,929",5.86,"38,917",7.63,11.58,
191,KODEX 단기채권PLUS,"103,715",40,+0.04%,0,"13,507","13,023",0.01,"7,769",N/A,N/A,
192,한국앤컴퍼니,"14,200",50,+0.35%,500,"13,481","94,935",9.77,"65,244",6.80,5.53,
193,TIGER 미국테크TOP10 INDXX,"11,510",265,-2.25%,0,"13,472","117,050",0.13,"828,718",N/A,N/A,
194,NHN,"35,850","1,150",-3.11%,500,"13,450","37,518",19.17,"219,530",11.51,6.81,
195,더존비즈온,"44,250",100,-0.23%,500,"13,444","30,383",31.86,"65,315",25.92,12.10,
196,KODEX 2차전지산업,"20,125",140,-0.69%,0,"13,423","66,700",0.69,"1,429,861",N/A,N/A,
197,KODEX MSCI Korea TR,"11,435",120,-1.04%,0,"13,310","116,400",4.90,"744,810",N/A,N/A,
198,일동제약,"49,500","5,400",-9.84%,"1,000","13,268","26,803",1.72,"7,659,545",-11.82,-48.94,
199,영풍,"707,000","4,000",+0.57%,"5,000","13,023","1,842",4.05,805,10.49,3.66,
200,TIGER 2차전지테마,"20,645",215,-1.03%,0,"12,841","62,200",0.94,"1,411,043",N/A,N/A,
